,image_name,Good,Usable,Reject
0,1_right.jpeg,0.034626998,0.8290846,0.18837054
1,10001_right.jpeg,0.98759115,0.0099648675,0.008266401
2,10004_right.jpeg,0.98759055,0.00996546,0.008266252
3,10008_left.jpeg,0.9875844,0.009970458,0.008266792
4,10016_right.jpeg,0.98758775,0.009962543,0.008269032
5,10026_left.jpeg,0.98743325,0.010107716,0.008262653
6,10026_right.jpeg,0.9872471,0.0102631515,0.008266941
7,1003_left.jpeg,0.9659905,0.030121153,0.008993849
8,10033_left.jpeg,0.98759127,0.009964849,0.008266385
9,10033_right.jpeg,0.98758984,0.00996609,0.008266342
10,10036_left.jpeg,0.024657072,0.038968615,0.9543823
11,10037_left.jpeg,0.98667336,0.010547537,0.008450117
12,1004_right.jpeg,0.9875908,0.009964519,0.008266738
13,10040_left.jpeg,0.02137479,0.072146766,0.9359322
14,10041_left.jpeg,0.98758686,0.009968617,0.008266592
15,1005_right.jpeg,0.022779197,0.07574258,0.91630965
16,10052_right.jpeg,0.024634073,0.053775895,0.93898493
17,1006_left.jpeg,0.02467237,0.038983412,0.9543374
18,1006_right.jpeg,0.029084994,0.16291727,0.85805523
19,10060_left.jpeg,0.045283057,0.9428979,0.05438833
20,10063_left.jpeg,0.02467451,0.03894822,0.95436317
21,10064_left.jpeg,0.9875894,0.00996529,0.008266991
22,10064_right.jpeg,0.98754114,0.009993661,0.0082754055
23,10068_right.jpeg,0.020637622,0.23188809,0.78683776
24,10070_right.jpeg,0.98759127,0.009964849,0.008266385
25,10072_left.jpeg,0.024643447,0.0395059,0.9539673
26,10075_right.jpeg,0.98759127,0.009964862,0.008266385
27,10077_left.jpeg,0.987323,0.0101899,0.008238677
28,10077_right.jpeg,0.9874708,0.010073297,0.008268865
29,10079_right.jpeg,0.98759127,0.009964858,0.008266382
30,10080_left.jpeg,0.98759127,0.009964849,0.008266385
31,10080_right.jpeg,0.98759127,0.009964849,0.008266385
32,10084_left.jpeg,0.06767054,0.9245491,0.041034907
33,10084_right.jpeg,0.8623294,0.12343007,0.013456578
34,10089_left.jpeg,0.98759127,0.009964849,0.008266385
35,1009_left.jpeg,0.028979918,0.39210322,0.5310966
36,10093_right.jpeg,0.024445381,0.28847772,0.69332933
37,10098_left.jpeg,0.02685669,0.26879168,0.6769002
38,101_left.jpeg,0.98758996,0.009964303,0.00826725
39,101_right.jpeg,0.9875909,0.009964712,0.008266601
40,10102_left.jpeg,0.037152663,0.8953731,0.102623075
41,10105_left.jpeg,0.024656728,0.038940582,0.95440966
42,10106_left.jpeg,0.98356587,0.013855711,0.008100474
43,10108_left.jpeg,0.030135034,0.41354808,0.62615937
44,10110_right.jpeg,0.02475417,0.03927015,0.9538323
45,10114_right.jpeg,0.9862037,0.011285871,0.007925266
46,10119_right.jpeg,0.98759115,0.009964816,0.008266436
47,10123_left.jpeg,0.9875896,0.00996658,0.008265873
48,10123_right.jpeg,0.9870558,0.009693982,0.008759024
49,10128_left.jpeg,0.024685048,0.03913191,0.9541206
50,1013_left.jpeg,0.024701154,0.043726686,0.9506442
51,10132_left.jpeg,0.98759127,0.009964849,0.008266393
52,10132_right.jpeg,0.98759115,0.009964895,0.008266378
53,10133_left.jpeg,0.98460406,0.012751718,0.008135229
54,1014_left.jpeg,0.9872651,0.0102862,0.0081615895
55,1014_right.jpeg,0.9875646,0.009988643,0.008267336
